converted_txts/uploadEventSplitter.log.2025-10-08-23.1.1759968012.675.txt:10.0.1.191 - [2025-10-08 22:43:01,406] - com.bidgely.cloud.splitter.UploadEventMessageProcessor:run:92 - pool-8-thread-1 - INFO : New event: GbUploadEvent [userId=85da6268-e50d-4792-aadf-2b1b27990120, homeOrdinal=1, start=1759722300, end=1759963381, measurementType=ELECTRIC]"
converted_txts/uploadEventSplitter.log.2025-10-08-23.1.1759968012.675.txt:10.0.1.191 - [2025-10-08 22:43:01,472] - com.bidgely.cloud.splitter.UploadEventMessageProcessor:run:112 - pool-8-thread-1 - INFO : Message not added to disagg :85da6268-e50d-4792-aadf-2b1b27990120 "
converted_txts/uploadEventSplitter.log.2025-10-08-23.1.1759968012.675.txt:10.0.1.191 - [2025-10-08 22:43:01,495] - com.bidgely.cloud.splitter.UploadEventMessageProcessor:run:115 - pool-8-thread-1 - INFO : done processing user 85da6268-e50d-4792-aadf-2b1b27990120"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 |  | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:419 | com.bidgely.cloud.core.billingdata.aggregation.AggregationMessageProcessor$AggregateMessageProcessor:run:208 | pool-41-thread-1 | INFO | Processing user AggregateUploadEvent [uuid=85da6268-e50d-4792-aadf-2b1b27990120, hid=1, startTs=1759635900, endTs=1759876933,measurementType=ELECTRIC, deleteBeforeRun=false, storeTimebandInCassandra=false, consumptionTypes=[ENERGY_CONSUMPTION, BILLING_COST, TIER, TOU], aggModes=[DAY, MONTH],UserRateInfo [planName= null, size of planValueList=0, triggerId=1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc, triggerName=INGESTER_JOBS, aggregationEventStage=null, runHybridV2=false]]"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 |  | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:436 | com.bidgely.cloud.core.iam.dao.PIIUserDao:getUser:167 | pool-41-thread-1 | INFO | response getUser : Client response status: 200"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 |  | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:437 | com.bidgely.cloud.core.iam.dao.UserDao:getUser:451 | pool-41-thread-1 | INFO | piiUser is empty : false"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:805 | com.bidgely.cloud.core.lib.UserHelper:checkRunHybridV2:3388 | pool-41-thread-1 | INFO | Value of checks for user 85da6268-e50d-4792-aadf-2b1b27990120 isEnableHybridV2 false, isElectricAMIUser true, isResidentialUser true"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:854 | com.bidgely.cloud.core.lib.aggregations.BillingDataAggregateProcessor:processAggregates:307 | pool-41-thread-1 | INFO | final aggregation types to be triggered are [ENERGY_CONSUMPTION, TOU, BILLING_COST, TIER]"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:856 | com.bidgely.cloud.core.lib.aggregations.ConsumptionAggregateHandler:populateDayAggregate:85 | pool-41-thread-1 | INFO | LastPopulatedTs for ENERGY_CONSUMPTION for user 85da6268-e50d-4792-aadf-2b1b27990120  in dayCF: 1759636800"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:976 | com.bidgely.cloud.core.cass.cql.dao.BillingDataDao$BillingDataCacheLoader:load:155 | pool-41-thread-1 | INFO | Loading Billing data from database for key v1|85da6268-e50d-4792-aadf-2b1b27990120|DEFAULT|1"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:24:979 | com.bidgely.cloud.core.cass.gb.GBGatewayHandler:getGBData:58 | pool-41-thread-1 | WARN | Getting GB data from S3 for user 85da6268-e50d-4792-aadf-2b1b27990120, from 1759284000 to 1759723200 for gateway type 75"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:25:616 | com.bidgely.cloud.core.lib.dao.psc.PSCRateDao:findByUtilityId:122 | pool-41-thread-1 | INFO | Fetching PSC rates for utilityId=10037"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:25:618 | com.bidgely.cloud.core.lib.rates.psc.PSCRateManager:getPSCRatesByUtility:269 | pool-41-thread-1 | INFO | Found 48 valid PSC rates for utilityId=10037"
converted_txts/aggregationMessageProcessor.log.2025-10-08-23.1.1759911920.771.txt:10.0.1.51 | 10037 | 85da6268-e50d-4792-aadf-2b1b27990120 | 1a1f8c54-9f3e-4f23-8947-f8baf4fe0fbc | INGESTER_JOBS |  2025-10-08 06:20:25:734 | com.bidgely.cloud.spring.cache.threadlocal.ConcurrentMapCacheManager:getCacheMap:87 | pool-41-thread-1 | INFO | Caches initialized"
